text,category
"Lapor, ada insiden perampokan toko di Stasiun Manggarai.",Kriminal
"Tolong, ada yang kecelakaan motor di gedung perkantoran di Mall Grand Indonesia.",Medis
"Tolong, ada yang kecelakaan motor di rumah tinggal di Apartemen Green Pramuka.",Medis
Waspada! Terjadi penjambretan kawasan SCBD.,Kriminal
Seseorang butuh pertolongan medis karena pendarahan hebat dekat Monas.,Medis
Seseorang butuh pertolongan medis karena pendarahan hebat di Jalan Sudirman.,Medis
"Saya baru saja melihat penjambretan di mobil sedan silver kawasan SCBD, pelakunya kabur.",Kriminal
Lapor! Terjadi ledakan tabung gas kawasan SCBD.,Kebakaran
Lapor! Terjadi asap tebal kawasan SCBD.,Kebakaran
Lapor! Terjadi asap tebal di Apartemen Green Pramuka.,Kebakaran
Waspada! Terjadi pencurian dengan kekerasan dekat Monas.,Kriminal
Darurat! Api melalap gedung perkantoran di Jalan Sudirman.,Kebakaran
"Lapor, ada insiden pencurian dengan kekerasan dekat Monas.",Kriminal
Lapor! Terjadi korsleting listrik dekat Monas.,Kebakaran
"Tolong, ada yang pendarahan hebat di warung kelontong di Jalan Sudirman.",Medis
"Lapor, ada insiden pencurian dengan kekerasan di Apartemen Green Pramuka.",Kriminal
"Tolong, ada yang kecelakaan motor di mobil sedan silver di Stasiun Manggarai.",Medis
"Cepat, butuh ambulans! Ada korban kecelakaan motor di Apartemen Green Pramuka.",Medis
"Tolong, ada yang pingsan tidak sadarkan diri di rumah tinggal di Jalan Sudirman.",Medis
"Lapor, ada insiden pencurian dengan kekerasan di Apartemen Green Pramuka.",Kriminal
Darurat! Api melalap rumah tinggal di Stasiun Manggarai.,Kebakaran
"Saya baru saja melihat perampokan toko di gedung perkantoran kawasan SCBD, pelakunya kabur.",Kriminal
Darurat! Api melalap rumah tinggal di Mall Grand Indonesia.,Kebakaran
"Cepat, butuh ambulans! Ada korban serangan jantung di Apartemen Green Pramuka.",Medis
"Cepat, butuh ambulans! Ada korban serangan jantung dekat Monas.",Medis
"Tolong, ada ledakan tabung gas di di Mall Grand Indonesia, korbannya di dalam gedung perkantoran.",Kebakaran
"Cepat, butuh ambulans! Ada korban pingsan tidak sadarkan diri di Jalan Sudirman.",Medis
"Cepat, butuh ambulans! Ada korban kesulitan bernapas kawasan SCBD.",Medis
"Cepat, butuh ambulans! Ada korban serangan jantung kawasan SCBD.",Medis
Seseorang butuh pertolongan medis karena kesulitan bernapas di Stasiun Manggarai.,Medis
"Cepat, butuh ambulans! Ada korban pingsan tidak sadarkan diri di Apartemen Green Pramuka.",Medis
Darurat! Api melalap gedung perkantoran di Apartemen Green Pramuka.,Kebakaran
Darurat! Api melalap gedung perkantoran dekat Monas.,Kebakaran
"Cepat, butuh ambulans! Ada korban kecelakaan motor di Jalan Sudirman.",Medis
"Lapor, ada insiden tawuran warga dekat Monas.",Kriminal
"Saya baru saja melihat perampokan toko di mobil sedan silver di Mall Grand Indonesia, pelakunya kabur.",Kriminal
Waspada! Terjadi tawuran warga di Jalan Sudirman.,Kriminal
"Tolong, ada ledakan tabung gas di di Apartemen Green Pramuka, korbannya di dalam rumah tinggal.",Kebakaran
"Lapor, ada insiden perampokan toko dekat Monas.",Kriminal
"Cepat, butuh ambulans! Ada korban pingsan tidak sadarkan diri di Jalan Sudirman.",Medis
Waspada! Terjadi pencurian dengan kekerasan di Mall Grand Indonesia.,Kriminal
"Cepat, butuh ambulans! Ada korban pendarahan hebat di Stasiun Manggarai.",Medis
"Saya baru saja melihat pencurian dengan kekerasan di warung kelontong di Jalan Sudirman, pelakunya kabur.",Kriminal
"Lapor, ada insiden pencurian dengan kekerasan di Apartemen Green Pramuka.",Kriminal
"Lapor, ada insiden penjambretan dekat Monas.",Kriminal
Seseorang butuh pertolongan medis karena kecelakaan motor di Jalan Sudirman.,Medis
"Lapor, ada insiden tawuran warga dekat Monas.",Kriminal
"Lapor, ada insiden penjambretan di Mall Grand Indonesia.",Kriminal
"Saya baru saja melihat tawuran warga di gedung perkantoran di Apartemen Green Pramuka, pelakunya kabur.",Kriminal
"Lapor, ada insiden tawuran warga kawasan SCBD.",Kriminal
"Lapor, ada insiden perampokan toko dekat Monas.",Kriminal
"Saya baru saja melihat penjambretan di rumah tinggal di Stasiun Manggarai, pelakunya kabur.",Kriminal
"Tolong, ada yang pingsan tidak sadarkan diri di gedung perkantoran di Stasiun Manggarai.",Medis
Lapor! Terjadi ledakan tabung gas dekat Monas.,Kebakaran
Waspada! Terjadi pencurian dengan kekerasan kawasan SCBD.,Kriminal
"Tolong, ada yang pendarahan hebat di mobil sedan silver kawasan SCBD.",Medis
"Cepat, butuh ambulans! Ada korban kecelakaan motor di Jalan Sudirman.",Medis
Seseorang butuh pertolongan medis karena kesulitan bernapas di Mall Grand Indonesia.,Medis
Waspada! Terjadi tawuran warga di Apartemen Green Pramuka.,Kriminal
"Tolong, ada yang serangan jantung di warung kelontong dekat Monas.",Medis
"Cepat, butuh ambulans! Ada korban kesulitan bernapas di Stasiun Manggarai.",Medis
"Lapor, ada insiden tawuran warga di Apartemen Green Pramuka.",Kriminal
"Tolong, ada yang kesulitan bernapas di rumah tinggal di Stasiun Manggarai.",Medis
"Saya baru saja melihat perampokan toko di warung kelontong dekat Monas, pelakunya kabur.",Kriminal
